accepted, E_tot
82, -575.325000
82, -575.325000
82, -575.325000
82, -575.325000
83, -575.091000
83, -575.091000
83, -575.091000
83, -575.091000
83, -575.091000
83, -575.091000
83, -575.091000
83, -575.091000
84, -575.130000
84, -575.130000
84, -575.130000
84, -575.130000
84, -575.130000
84, -575.130000
84, -575.130000
84, -575.130000
84, -575.130000
84, -575.130000
84, -575.130000
84, -575.130000
84, -575.130000
84, -575.130000
84, -575.130000
84, -575.130000
84, -575.130000
84, -575.130000
84, -575.130000
84, -575.130000
84, -575.130000
84, -575.130000
84, -575.130000
84, -575.130000
85, -575.403000
85, -575.403000
85, -575.403000
85, -575.403000
85, -575.403000
85, -575.403000
85, -575.403000
85, -575.403000
