N, Var_U, Var_CV, Var_P, Var_R
29019, 0.018356, 0.039848, -0.178918, 0.018356
29070, 0.013110, 0.037580, -0.179939, 0.013110
29121, 0.010952, 0.035321, -0.180469, 0.010952
29172, 0.014495, 0.033049, -0.181116, 0.014495
29223, 0.011921, 0.030771, -0.182927, 0.011921
29274, 0.003649, 0.028509, -0.183556, 0.003649
29325, -0.009886, 0.026257, -0.182737, -0.009886
29376, -0.025178, 0.024011, -0.182763, -0.025178
29427, -0.041445, 0.021776, -0.182971, -0.041445
29478, -0.056449, 0.019561, -0.183856, -0.056449
29529, -0.071830, 0.017364, -0.185032, -0.071830
29580, -0.080403, 0.015160, -0.187279, -0.080403
29631, -0.087277, 0.012928, -0.188427, -0.087277
29682, -0.090218, 0.010646, -0.190031, -0.090218
29733, -0.089428, 0.008308, -0.190115, -0.089428
29784, -0.082821, 0.005933, -0.191712, -0.082821
29835, -0.075175, 0.003548, -0.192984, -0.075175
29886, -0.069846, 0.001155, -0.192243, -0.069846
29937, -0.066728, -0.001225, -0.190705, -0.066728
29988, -0.060765, -0.003555, -0.188468, -0.060765
30039, -0.049581, -0.005824, -0.185073, -0.049581
30090, -0.041297, -0.008072, -0.182579, -0.041297
30141, -0.036900, -0.010330, -0.181662, -0.036900
30192, -0.035556, -0.012608, -0.181376, -0.035556
30243, -0.029950, -0.014875, -0.178989, -0.029950
30294, -0.021500, -0.017124, -0.175560, -0.021500
30345, -0.017621, -0.019370, -0.170655, -0.017621
30396, -0.016765, -0.021588, -0.164784, -0.016765
30447, -0.020206, -0.023775, -0.158823, -0.020206
30498, -0.026013, -0.025922, -0.153757, -0.026013
30549, -0.034784, -0.028005, -0.150130, -0.034784
30600, -0.039916, -0.029985, -0.145232, -0.039916
30651, -0.040148, -0.031890, -0.141016, -0.040148
30702, -0.034203, -0.033760, -0.138153, -0.034203
30753, -0.034720, -0.035626, -0.136946, -0.034720
30804, -0.035921, -0.037470, -0.134607, -0.035921
30855, -0.037980, -0.039318, -0.130620, -0.037980
30906, -0.039684, -0.041181, -0.125233, -0.039684
30957, -0.037398, -0.043042, -0.119400, -0.037398
31008, -0.032004, -0.044865, -0.114976, -0.032004
31059, -0.025808, -0.046655, -0.110582, -0.025808
31110, -0.019791, -0.048371, -0.105135, -0.019791
31161, -0.007598, -0.049850, -0.099549, -0.007598
31212, 0.003197, -0.051072, -0.094485, 0.003197
31263, 0.009021, -0.052056, -0.089938, 0.009021
31314, 0.004469, -0.052855, -0.085894, 0.004469
31365, 0.001825, -0.053517, -0.081325, 0.001825
31416, -0.000508, -0.054036, -0.074742, -0.000508
31467, -0.002674, -0.054429, -0.066795, -0.002674
31518, -0.001453, -0.054734, -0.059713, -0.001453
31569, -0.004543, -0.054975, -0.054269, -0.004543
31620, -0.002641, -0.055162, -0.049538, -0.002641
31671, -0.004001, -0.055325, -0.043277, -0.004001
31722, -0.004957, -0.055469, -0.037299, -0.004957
31773, -0.006226, -0.055602, -0.031368, -0.006226
31824, -0.007107, -0.055698, -0.027609, -0.007107
31875, -0.010184, -0.055721, -0.024105, -0.010184
31926, -0.008006, -0.055663, -0.022383, -0.008006
31977, -0.003583, -0.055529, -0.020525, -0.003583
32028, -0.001960, -0.055337, -0.018905, -0.001960
32079, -0.000596, -0.055110, -0.017735, -0.000596
32130, 0.002684, -0.054855, -0.018342, 0.002684
32181, 0.009307, -0.054602, -0.019863, 0.009307
32232, 0.021356, -0.054365, -0.020981, 0.021356
32283, 0.025310, -0.054152, -0.024506, 0.025310
32334, 0.032011, -0.053956, -0.027794, 0.032011
32385, 0.040571, -0.053774, -0.032555, 0.040571
32436, 0.041867, -0.053605, -0.037266, 0.041867
32487, 0.041062, -0.053446, -0.040152, 0.041062
32538, 0.037927, -0.053257, -0.042351, 0.037927
32589, 0.028862, -0.052993, -0.044912, 0.028862
32640, 0.022919, -0.052642, -0.048982, 0.022919
32691, 0.024411, -0.052181, -0.054736, 0.024411
32742, 0.032311, -0.051623, -0.060786, 0.032311
32793, 0.041323, -0.051001, -0.066090, 0.041323
32844, 0.048583, -0.050353, -0.071533, 0.048583
32895, 0.046791, -0.049691, -0.078182, 0.046791
32946, 0.033025, -0.049028, -0.085419, 0.033025
32997, 0.009539, -0.048349, -0.093020, 0.009539
33048, -0.006751, -0.047658, -0.100577, -0.006751
33099, -0.021258, -0.046952, -0.107432, -0.021258
33150, -0.028994, -0.046217, -0.114270, -0.028994
33201, -0.031761, -0.045435, -0.118806, -0.031761
33252, -0.029290, -0.044609, -0.123110, -0.029290
33303, -0.026580, -0.043715, -0.125357, -0.026580
33354, -0.019320, -0.042740, -0.128518, -0.019320
33405, -0.012685, -0.041762, -0.131484, -0.012685
33456, -0.000919, -0.040808, -0.135026, -0.000919
33507, 0.008660, -0.039883, -0.139337, 0.008660
33558, 0.018735, -0.038988, -0.145706, 0.018735
33609, 0.025980, -0.038126, -0.152287, 0.025980
33660, 0.029088, -0.037295, -0.157714, 0.029088
33711, 0.029267, -0.036487, -0.162816, 0.029267
33762, 0.033834, -0.035700, -0.167141, 0.033834
33813, 0.043039, -0.034934, -0.170041, 0.043039
33864, 0.052168, -0.034194, -0.170336, 0.052168
33915, 0.059986, -0.033483, -0.168353, 0.059986
33966, 0.065963, -0.032813, -0.167190, 0.065963
34017, 0.065270, -0.032183, -0.166876, 0.065270
34068, 0.062640, -0.031588, -0.167557, 0.062640
34119, 0.055778, -0.031016, -0.169263, 0.055778
34170, 0.047956, -0.030467, -0.170840, 0.047956
34221, 0.043493, -0.029942, -0.170218, 0.043493
34272, 0.031825, -0.029441, -0.167033, 0.031825
34323, 0.021439, -0.028962, -0.162694, 0.021439
34374, 0.017216, -0.028505, -0.157362, 0.017216
34425, 0.015902, -0.028074, -0.150840, 0.015902
34476, 0.020450, -0.027670, -0.144102, 0.020450
34527, 0.032299, -0.027291, -0.138555, 0.032299
34578, 0.045953, -0.026936, -0.133599, 0.045953
34629, 0.053653, -0.026603, -0.127431, 0.053653
34680, 0.059421, -0.026291, -0.120772, 0.059421
34731, 0.071007, -0.025997, -0.113993, 0.071007
34782, 0.080096, -0.025728, -0.105903, 0.080096
34833, 0.085821, -0.025477, -0.097040, 0.085821
34884, 0.086645, -0.025236, -0.088812, 0.086645
34935, 0.079838, -0.025004, -0.078463, 0.079838
34986, 0.076605, -0.024771, -0.065956, 0.076605
35037, 0.077373, -0.024530, -0.053882, 0.077373
35088, 0.079457, -0.024240, -0.043260, 0.079457
35139, 0.089701, -0.023893, -0.034342, 0.089701
35190, 0.102066, -0.023517, -0.026389, 0.102066
35241, 0.111544, -0.023131, -0.017823, 0.111544
35292, 0.120507, -0.022745, -0.008366, 0.120507
35343, 0.131475, -0.022358, 0.002471, 0.131475
35394, 0.135693, -0.021968, 0.014663, 0.135693
35445, 0.138219, -0.021592, 0.025811, 0.138219
35496, 0.136957, -0.021238, 0.037286, 0.136957
35547, 0.137606, -0.020908, 0.048868, 0.137606
35598, 0.140515, -0.020604, 0.059166, 0.140515
35649, 0.146164, -0.020332, 0.067392, 0.146164
35700, 0.150218, -0.020093, 0.074883, 0.150218
35751, 0.151804, -0.019883, 0.081683, 0.151804
35802, 0.149449, -0.019715, 0.089098, 0.149449
35853, 0.148458, -0.019593, 0.095656, 0.148458
35904, 0.145175, -0.019506, 0.100632, 0.145175
35955, 0.137698, -0.019440, 0.104417, 0.137698
36006, 0.131931, -0.019404, 0.108153, 0.131931
36057, 0.125099, -0.019387, 0.110374, 0.125099
36108, 0.116965, -0.019396, 0.112530, 0.116965
36159, 0.116650, -0.019425, 0.114130, 0.116650
36210, 0.114454, -0.019471, 0.114194, 0.114454
36261, 0.110134, -0.019526, 0.114659, 0.110134
36312, 0.101356, -0.019588, 0.116402, 0.101356
36363, 0.096307, -0.019650, 0.119661, 0.096307
36414, 0.097318, -0.019708, 0.122575, 0.097318
