its, t_max, delta_t, its_eq
20000, 20, 0.001000, 10000
E_kin, E_pot, E_tot, <T>, T, <P>, P, a
18.188895, -528.523487, -510.334592, 844.903470, 549.670226, 0.000788, -0.003755, 4.000743
18.199215, -528.567911, -510.368695, 843.105169, 549.982098, 0.000761, -0.003740, 4.000722
18.208536, -528.611498, -510.402962, 841.330373, 550.263757, 0.000733, -0.003726, 4.000701
18.216163, -528.653512, -510.437349, 839.578348, 550.494252, 0.000707, -0.003714, 4.000680
18.221600, -528.693494, -510.471894, 837.848289, 550.658562, 0.000680, -0.003702, 4.000659
18.224585, -528.731117, -510.506532, 836.139363, 550.748756, 0.000654, -0.003689, 4.000638
18.225089, -528.766263, -510.541174, 834.450752, 550.764008, 0.000629, -0.003678, 4.000617
18.223306, -528.799140, -510.575834, 832.781689, 550.710104, 0.000603, -0.003667, 4.000597
18.219633, -528.830072, -510.610439, 831.131499, 550.599126, 0.000578, -0.003657, 4.000576
18.214656, -528.859556, -510.644900, 829.499622, 550.448699, 0.000554, -0.003649, 4.000555
18.209121, -528.888408, -510.679286, 827.885644, 550.281451, 0.000530, -0.003641, 4.000535
18.203925, -528.917448, -510.713523, 826.289315, 550.124411, 0.000506, -0.003635, 4.000514
18.200042, -528.947718, -510.747675, 824.710560, 550.007086, 0.000482, -0.003629, 4.000494
18.198458, -528.980234, -510.781776, 823.149472, 549.959209, 0.000459, -0.003624, 4.000474
18.200121, -529.015928, -510.815807, 821.606308, 550.009452, 0.000436, -0.003620, 4.000453
18.205918, -529.055826, -510.849908, 820.081468, 550.184646, 0.000413, -0.003617, 4.000433
18.216625, -529.100763, -510.884139, 818.575472, 550.508212, 0.000390, -0.003614, 4.000413
18.232843, -529.151401, -510.918558, 817.088932, 550.998315, 0.000368, -0.003611, 4.000392
18.254964, -529.208330, -510.953366, 815.622512, 551.666824, 0.000346, -0.003609, 4.000372
18.283165, -529.271767, -510.988602, 814.176888, 552.519064, 0.000324, -0.003606, 4.000352
18.317435, -529.341850, -511.024415, 812.752723, 553.554711, 0.000303, -0.003604, 4.000331
18.357569, -529.418547, -511.060978, 811.350630, 554.767563, 0.000282, -0.003600, 4.000311
18.403153, -529.501511, -511.098358, 809.971141, 556.145108, 0.000261, -0.003596, 4.000291
18.453577, -529.590253, -511.136676, 808.614677, 557.668914, 0.000240, -0.003592, 4.000271
18.508060, -529.684073, -511.176012, 807.281526, 559.315425, 0.000220, -0.003586, 4.000250
18.565702, -529.782165, -511.216464, 805.971823, 561.057348, 0.000199, -0.003579, 4.000230
18.625504, -529.883550, -511.258046, 804.685541, 562.864592, 0.000180, -0.003571, 4.000210
18.686418, -529.987318, -511.300900, 803.422488, 564.705394, 0.000160, -0.003561, 4.000190
18.747352, -530.092275, -511.344922, 802.182301, 566.546853, 0.000140, -0.003549, 4.000170
18.807222, -530.197410, -511.390188, 800.964457, 568.356105, 0.000121, -0.003534, 4.000150
18.864998, -530.301638, -511.436640, 799.768279, 570.102106, 0.000102, -0.003518, 4.000130
18.919711, -530.403955, -511.484244, 798.592955, 571.755549, 0.000084, -0.003498, 4.000110
18.970442, -530.503358, -511.532916, 797.437548, 573.288626, 0.000066, -0.003476, 4.000091
19.016338, -530.598930, -511.582591, 796.301008, 574.675637, 0.000048, -0.003452, 4.000071
19.056638, -530.689776, -511.633138, 795.182188, 575.893488, 0.000030, -0.003424, 4.000052
19.090685, -530.775206, -511.684521, 794.079866, 576.922402, 0.000013, -0.003394, 4.000033
19.117942, -530.854447, -511.736505, 792.992762, 577.746107, -0.000004, -0.003361, 4.000013
19.137975, -530.927005, -511.789030, 791.919555, 578.351504, -0.000021, -0.003326, 3.999995
19.150469, -530.992363, -511.841894, 790.858906, 578.729067, -0.000037, -0.003288, 3.999976
19.155265, -531.050237, -511.894972, 789.809476, 578.874023, -0.000053, -0.003249, 3.999957
19.152350, -531.100433, -511.948083, 788.769951, 578.785906, -0.000069, -0.003208, 3.999939
19.141809, -531.142903, -512.001094, 787.739056, 578.467381, -0.000084, -0.003164, 3.999921
19.123845, -531.177736, -512.053891, 786.715571, 577.924507, -0.000099, -0.003117, 3.999903
19.098780, -531.205006, -512.106226, 785.698345, 577.167027, -0.000113, -0.003069, 3.999886
19.067046, -531.225119, -512.158074, 784.686314, 576.208009, -0.000127, -0.003018, 3.999868
19.029170, -531.238437, -512.209267, 783.678512, 575.063419, -0.000141, -0.002966, 3.999851
18.985758, -531.245348, -512.259589, 782.674076, 573.751505, -0.000154, -0.002913, 3.999835
18.937476, -531.246487, -512.309011, 781.672259, 572.292418, -0.000167, -0.002858, 3.999818
18.885043, -531.242464, -512.357420, 780.672428, 570.707883, -0.000179, -0.002803, 3.999802
18.829209, -531.234006, -512.404797, 779.674070, 569.020558, -0.000191, -0.002748, 3.999787
18.770738, -531.221717, -512.450979, 778.676790, 567.253565, -0.000203, -0.002692, 3.999771
18.710397, -531.206412, -512.496015, 777.680310, 565.430055, -0.000214, -0.002637, 3.999756
18.648944, -531.188760, -512.539816, 776.684462, 563.572948, -0.000225, -0.002582, 3.999741
18.587081, -531.169425, -512.582344, 775.689180, 561.703432, -0.000236, -0.002527, 3.999727
18.525442, -531.149102, -512.623660, 774.694486, 559.840696, -0.000246, -0.002472, 3.999712
18.464601, -531.128302, -512.663701, 773.700484, 558.002087, -0.000256, -0.002417, 3.999699
18.405046, -531.107541, -512.702495, 772.707342, 556.202332, -0.000266, -0.002362, 3.999685
18.347205, -531.087313, -512.740108, 771.715283, 554.454351, -0.000275, -0.002308, 3.999672
18.291429, -531.067974, -512.776545, 770.724575, 552.768792, -0.000284, -0.002255, 3.999659
18.237978, -531.049864, -512.811886, 769.735516, 551.153495, -0.000293, -0.002201, 3.999646
18.187065, -531.033196, -512.846131, 768.748428, 549.614914, -0.000301, -0.002147, 3.999634
18.138851, -531.018185, -512.879334, 767.763649, 548.157866, -0.000309, -0.002094, 3.999622
18.093451, -531.005013, -512.911563, 766.781525, 546.785881, -0.000317, -0.002041, 3.999610
