its, t_max, delta_t, its_eq
20000, 20, 0.001000, 10000
x_1, y_1, z_1, x_2, y_2, z_2, x_3, y_3, z_3, x_4, y_4, z_4
-0.230754, -0.283385, -0.744232, 1.795630, 0.485184, 13.853878, 1.741918, 4.233523, 10.248633, 1.689885, 7.816939, 1.915235
-0.228406, -0.280672, -0.748292, 1.789725, 0.489155, 13.852076, 1.738941, 4.234467, 10.246082, 1.680521, 7.819768, 1.917535
-0.225919, -0.277898, -0.752277, 1.783909, 0.492988, 13.850276, 1.736109, 4.235283, 10.243092, 1.671141, 7.822526, 1.919636
-0.223292, -0.275061, -0.756185, 1.778187, 0.496677, 13.848477, 1.733428, 4.235982, 10.239676, 1.661752, 7.825213, 1.921535
-0.220524, -0.272162, -0.760014, 1.772563, 0.500217, 13.846679, 1.730905, 4.236572, 10.235848, 1.652363, 7.827831, 1.923229
-0.217614, -0.269199, -0.763763, 1.767041, 0.503602, 13.844881, 1.728544, 4.237062, 10.231623, 1.642984, 7.830381, 1.924714
-0.214561, -0.266170, -0.767432, 1.761626, 0.506827, 13.843082, 1.726350, 4.237463, 10.227016, 1.633622, 7.832864, 1.925988
-0.211362, -0.263075, -0.771017, 1.756322, 0.509887, 13.841283, 1.724327, 4.237783, 10.222046, 1.624286, 7.835283, 1.927046
-0.208018, -0.259912, -0.774520, 1.751133, 0.512777, 13.839484, 1.722478, 4.238031, 10.216731, 1.614985, 7.837638, 1.927888
-0.204527, -0.256681, -0.777937, 1.746062, 0.515492, 13.837685, 1.720807, 4.238216, 10.211089, 1.605729, 7.839932, 1.928511
-0.200889, -0.253381, -0.781269, 1.741113, 0.518027, 13.835888, 1.719316, 4.238345, 10.205141, 1.596526, 7.842165, 1.928912
-0.197103, -0.250010, -0.784515, 1.736289, 0.520380, 13.834094, 1.718009, 4.238425, 10.198907, 1.587385, 7.844339, 1.929092
-0.193168, -0.246568, -0.787674, 1.731595, 0.522546, 13.832304, 1.716886, 4.238465, 10.192409, 1.578317, 7.846455, 1.929048
-0.189083, -0.243054, -0.790745, 1.727031, 0.524522, 13.830521, 1.715950, 4.238469, 10.185668, 1.569330, 7.848513, 1.928780
-0.184848, -0.239466, -0.793728, 1.722602, 0.526305, 13.828748, 1.715201, 4.238444, 10.178707, 1.560434, 7.850512, 1.928289
-0.180463, -0.235804, -0.796623, 1.718310, 0.527894, 13.826987, 1.714642, 4.238395, 10.171549, 1.551639, 7.852454, 1.927575
-0.175927, -0.232067, -0.799429, 1.714158, 0.529287, 13.825241, 1.714274, 4.238326, 10.164215, 1.542953, 7.854336, 1.926639
-0.171239, -0.228254, -0.802147, 1.710146, 0.530481, 13.823515, 1.714095, 4.238242, 10.156728, 1.534388, 7.856157, 1.925483
-0.166401, -0.224365, -0.804777, 1.706278, 0.531478, 13.821812, 1.714109, 4.238144, 10.149112, 1.525952, 7.857915, 1.924109
-0.161411, -0.220399, -0.807318, 1.702554, 0.532277, 13.820137, 1.714314, 4.238037, 10.141389, 1.517656, 7.859607, 1.922521
-0.156270, -0.216355, -0.809771, 1.698977, 0.532877, 13.818494, 1.714711, 4.237921, 10.133582, 1.509509, 7.861231, 1.920721
-0.150979, -0.212234, -0.812137, 1.695547, 0.533282, 13.816888, 1.715300, 4.237799, 10.125714, 1.501521, 7.862782, 1.918714
-0.145537, -0.208035, -0.814417, 1.692264, 0.533491, 13.815325, 1.716081, 4.237670, 10.117806, 1.493701, 7.864256, 1.916505
-0.139945, -0.203758, -0.816610, 1.689130, 0.533508, 13.813809, 1.717055, 4.237536, 10.109880, 1.486058, 7.865647, 1.914099
-0.134203, -0.199403, -0.818719, 1.686145, 0.533336, 13.812346, 1.718220, 4.237397, 10.101958, 1.478603, 7.866951, 1.911503
-0.128313, -0.194970, -0.820744, 1.683308, 0.532977, 13.810942, 1.719577, 4.237250, 10.094062, 1.471345, 7.868161, 1.908724
-0.122276, -0.190459, -0.822686, 1.680620, 0.532437, 13.809603, 1.721125, 4.237097, 10.086210, 1.464291, 7.869272, 1.905768
-0.116091, -0.185871, -0.824547, 1.678079, 0.531719, 13.808335, 1.722863, 4.236935, 10.078424, 1.457452, 7.870276, 1.902644
-0.109760, -0.181206, -0.826327, 1.675686, 0.530828, 13.807142, 1.724791, 4.236762, 10.070722, 1.450835, 7.871167, 1.899360
-0.103285, -0.176465, -0.828029, 1.673438, 0.529770, 13.806031, 1.726908, 4.236576, 10.063124, 1.444448, 7.871937, 1.895926
-0.096666, -0.171650, -0.829655, 1.671335, 0.528551, 13.805007, 1.729213, 4.236375, 10.055646, 1.438299, 7.872580, 1.892351
-0.089904, -0.166761, -0.831205, 1.669374, 0.527178, 13.804076, 1.731704, 4.236157, 10.048307, 1.432395, 7.873089, 1.888645
-0.083002, -0.161800, -0.832681, 1.667554, 0.525656, 13.803243, 1.734379, 4.235917, 10.041122, 1.426743, 7.873456, 1.884819
-0.075960, -0.156767, -0.834085, 1.665873, 0.523992, 13.802512, 1.737237, 4.235655, 10.034108, 1.421350, 7.873676, 1.880883
-0.068779, -0.151665, -0.835419, 1.664327, 0.522194, 13.801888, 1.740275, 4.235365, 10.027278, 1.416219, 7.873741, 1.876849
-0.061460, -0.146494, -0.836685, 1.662913, 0.520269, 13.801376, 1.743492, 4.235046, 10.020648, 1.411357, 7.873645, 1.872728
-0.054006, -0.141257, -0.837884, 1.661629, 0.518224, 13.800979, 1.746882, 4.234693, 10.014229, 1.406768, 7.873384, 1.868533
-0.046418, -0.135955, -0.839017, 1.660472, 0.516067, 13.800701, 1.750444, 4.234303, 10.008034, 1.402456, 7.872952, 1.864274
-0.038696, -0.130590, -0.840087, 1.659436, 0.513805, 13.800545, 1.754174, 4.233872, 10.002075, 1.398424, 7.872344, 1.859965
-0.030843, -0.125164, -0.841096, 1.658519, 0.511445, 13.800514, 1.758067, 4.233398, 9.996363, 1.394675, 7.871557, 1.855618
-0.022859, -0.119679, -0.842044, 1.657717, 0.508996, 13.800608, 1.762118, 4.232877, 9.990906, 1.391210, 7.870586, 1.851244
-0.014748, -0.114138, -0.842934, 1.657024, 0.506464, 13.800830, 1.766323, 4.232305, 9.985714, 1.388032, 7.869431, 1.846858
-0.006510, -0.108542, -0.843768, 1.656436, 0.503857, 13.801180, 1.770675, 4.231680, 9.980796, 1.385140, 7.868089, 1.842471
0.001853, -0.102895, -0.844546, 1.655948, 0.501182, 13.801659, 1.775168, 4.230998, 9.976157, 1.382536, 7.866559, 1.838097
0.010339, -0.097197, -0.845271, 1.655556, 0.498445, 13.802266, 1.779797, 4.230257, 9.971806, 1.380219, 7.864843, 1.833747
0.018945, -0.091453, -0.845944, 1.655255, 0.495655, 13.803000, 1.784552, 4.229454, 9.967747, 1.378188, 7.862940, 1.829436
0.027669, -0.085665, -0.846566, 1.655038, 0.492816, 13.803859, 1.789427, 4.228587, 9.963985, 1.376442, 7.860854, 1.825175
0.036510, -0.079835, -0.847139, 1.654902, 0.489936, 13.804842, 1.794414, 4.227654, 9.960526, 1.374980, 7.858587, 1.820977
0.045463, -0.073966, -0.847664, 1.654840, 0.487020, 13.805944, 1.799502, 4.226654, 9.957371, 1.373799, 7.856144, 1.816855
0.054527, -0.068061, -0.848143, 1.654846, 0.484073, 13.807164, 1.804684, 4.225584, 9.954524, 1.372899, 7.853528, 1.812821
0.063697, -0.062123, -0.848576, 1.654916, 0.481102, 13.808497, 1.809949, 4.224444, 9.951987, 1.372276, 7.850746, 1.808888
0.072971, -0.056154, -0.848965, 1.655045, 0.478111, 13.809939, 1.815286, 4.223233, 9.949761, 1.371929, 7.847804, 1.805067
