its, t_max, delta_t, its_eq, -, -, -, -
1000, 10, 0.010000, 0, 0, 0, 0, 0
E_kin [eV], E_pot [eV], E_tot [eV], <T> [K], T [K], <P> [MPa], P [MPa], a [Å]
27.975226, -642.887850, -614.912624, 835.328041, 845.414104, 1591.979368, 1636.514481, 4.030000
27.434051, -642.289212, -614.855161, 835.272570, 829.059741, 1592.398248, 1639.312723, 4.030000
26.555852, -641.319390, -614.763538, 834.985271, 802.520482, 1593.132027, 1676.049115, 4.030000
26.201808, -641.038997, -614.837189, 834.609931, 791.821246, 1594.042391, 1697.823878, 4.030000
26.089934, -640.857954, -614.768020, 834.211918, 788.440408, 1594.923717, 1696.276245, 4.030000
26.775941, -641.520671, -614.744731, 833.997898, 809.171586, 1595.473910, 1659.296210, 4.030000
28.520299, -643.329444, -614.809145, 834.234240, 861.886274, 1595.196989, 1562.797280, 4.030000
30.006457, -644.961933, -614.955476, 834.844021, 906.798110, 1594.250176, 1482.526271, 4.030000
29.322965, -644.281301, -614.958336, 835.271511, 886.142907, 1593.522656, 1506.947749, 4.030000
26.608682, -641.394590, -614.785908, 835.014036, 804.117009, 1593.710572, 1616.260500, 4.030000
24.471882, -639.120564, -614.648682, 834.231484, 739.542713, 1594.782901, 1724.534646, 4.030000
24.912479, -639.632174, -614.719695, 833.569908, 752.857593, 1596.013399, 1746.134195, 4.030000
26.950813, -641.854210, -614.903397, 833.415766, 814.456252, 1596.801327, 1693.716447, 4.030000
28.319935, -643.223715, -614.903780, 833.595090, 855.831251, 1597.036067, 1626.143818, 4.030000
28.391814, -643.285902, -614.894088, 833.788807, 858.003434, 1596.920507, 1582.475590, 4.030000
27.489061, -642.315071, -614.826010, 833.764660, 830.722144, 1596.863668, 1589.701962, 4.030000
26.888205, -641.603897, -614.715691, 833.599031, 812.564239, 1596.945807, 1607.377372, 4.030000
27.831047, -642.631580, -614.800533, 833.656845, 841.057003, 1596.828662, 1581.834124, 4.030000
29.176611, -644.111799, -614.935188, 834.026562, 881.720093, 1596.545475, 1560.014440, 4.030000
28.978497, -643.900630, -614.922134, 834.344932, 875.733044, 1596.510672, 1591.986161, 4.030000
27.375779, -642.143056, -614.767277, 834.291552, 827.298757, 1596.939900, 1653.168879, 4.030000
26.370179, -641.092795, -614.722615, 834.010484, 796.909437, 1597.569645, 1680.695979, 4.030000
26.801400, -641.606698, -614.805298, 833.830860, 809.940954, 1597.910972, 1643.307382, 4.030000
27.666783, -642.550137, -614.883354, 833.847617, 836.092943, 1597.825770, 1586.408731, 4.030000
27.620948, -642.535868, -614.914920, 833.853941, 834.707776, 1597.645505, 1573.309688, 4.030000
26.594234, -641.346989, -614.752755, 833.633696, 803.680382, 1597.638476, 1596.682523, 4.030000
26.471981, -641.220463, -614.748482, 833.389872, 799.985900, 1597.634960, 1597.153356, 4.030000
27.313291, -642.234180, -614.920889, 833.332465, 825.410362, 1597.466407, 1574.206059, 4.030000
27.318275, -642.205090, -614.886815, 833.276955, 825.560978, 1597.297194, 1573.776605, 4.030000
26.709348, -641.476259, -614.766912, 833.091722, 807.159142, 1597.135494, 1574.497493, 4.030000
27.055965, -641.786946, -614.730981, 832.982864, 817.633946, 1596.810151, 1550.936756, 4.030000
28.525893, -643.428980, -614.903087, 833.186168, 862.055332, 1596.218901, 1512.261455, 4.030000
29.042013, -643.984211, -614.942198, 833.494962, 877.652524, 1595.609592, 1508.478335, 4.030000
28.163314, -642.957801, -614.794486, 833.616364, 851.098158, 1595.278756, 1547.638340, 4.030000
27.358729, -642.167219, -614.808490, 833.569563, 826.783506, 1595.097672, 1568.840575, 4.030000
27.154259, -641.920344, -614.766085, 833.481365, 820.604398, 1594.936536, 1571.410592, 4.030000
27.499975, -642.389428, -614.889453, 833.464950, 831.051967, 1594.880715, 1586.675102, 4.030000
27.209995, -642.097190, -614.887195, 833.389942, 822.288759, 1595.181811, 1639.744078, 4.030000
26.315576, -641.107463, -614.791887, 833.135738, 795.259311, 1595.890543, 1701.491619, 4.030000
26.199762, -640.954558, -614.754795, 832.861723, 791.759424, 1596.670604, 1713.679736, 4.030000
27.363777, -642.218542, -614.854765, 832.822738, 826.936070, 1597.090737, 1660.530787, 4.030000
28.739170, -643.633069, -614.893899, 833.055926, 868.500569, 1597.037522, 1588.948882, 4.030000
29.464376, -644.379388, -614.915012, 833.428397, 890.416353, 1596.672784, 1540.867845, 4.030000
29.121028, -644.038649, -614.917621, 833.729119, 880.040352, 1596.410429, 1556.007703, 4.030000
27.933081, -642.732938, -614.799856, 833.795859, 844.140491, 1596.543179, 1617.119427, 4.030000
27.299987, -642.065605, -614.765618, 833.739887, 825.008315, 1596.968286, 1663.285011, 4.030000
27.365552, -642.308492, -614.942940, 833.697164, 826.989684, 1597.394784, 1664.354953, 4.030000
26.610045, -641.426394, -614.816350, 833.511384, 804.158187, 1597.806199, 1662.809802, 4.030000
